Unnamed: 0,Pitch / microtone style,Length,MIDI note number,Intervals,Bend
,[,,,,
,G+1,1.0,67.0,,
,G+1,1.0,67.0,0.0,
,G+1,2.0,67.0,0.0,
,G+1,2.0,67.0,0.0,
,G+1,2.0,67.0,0.0,
,G+1,2.0,67.0,0.0,
,G+1,2.0,67.0,0.0,
,G+1,2.0,67.0,0.0,
,G+1,2.0,67.0,0.0,
,G+1,6.0,67.0,0.0,
,Ab+1,2.0,68.0,2.0,
,G+1,1.0,67.0,-2.0,
,F+1,8.0,65.0,-4.0,
,],,,,
,,,,,
,[,,,,
,G+1,1.0,67.0,4.0,
,G+1,1.0,67.0,0.0,
,G+1,2.0,67.0,0.0,
,G+1,2.0,67.0,0.0,
,G+1,2.0,67.0,0.0,
,G+1,2.0,67.0,0.0,
,G+1,2.0,67.0,0.0,
,G+1,6.0,67.0,0.0,
,Ab+1,2.0,68.0,2.0,
,G+1,1.0,67.0,-2.0,
,F+1,4.0,65.0,-4.0,
,,,,,
,G+1,1.0,67.0,4.0,
,G+1,6.0,67.0,0.0,
,Ab+1,2.0,68.0,2.0,
,G+1,1.0,67.0,-2.0,
,F+1,2.0,65.0,-4.0,
,,,,,
,G+1,1.0,67.0,4.0,
,G+1,6.0,67.0,0.0,
,Ab+1,2.0,68.0,2.0,
,G+1,1.0,67.0,-2.0,
,F+1,2.0,65.0,-4.0,
,,,,,
,F+1,1.0,65.0,0.0,
,G+1,6.0,67.0,4.0,
,Ab+1,2.0,68.0,2.0,
,G+1,1.0,67.0,-2.0,
,F+1,2.0,65.0,-4.0,
,,,,,
,F+1,1.0,65.0,0.0,
,G+1,3.0,67.0,4.0,
,Ab+1,1.0,68.0,2.0,
,G+1,1.0,67.0,-2.0,
,F+1,2.0,65.0,-4.0,
,,,,,
,Eb,1.0,63.0,-4.0,
,F+1,1.0,65.0,4.0,
,G+1,3.0,67.0,4.0,
,Ab+1,1.0,68.0,2.0,
,G+1,1.0,67.0,-2.0,
,F+1,2.0,65.0,-4.0,
,,,,,
,Eb,1.0,63.0,-4.0,
,F+1,1.0,65.0,4.0,
,G+1,3.0,67.0,4.0,
,Ab+1,1.0,68.0,2.0,
,G+1,1.0,67.0,-2.0,
,F+1,2.0,65.0,-4.0,
,,,,,
,G+1,3.0,67.0,4.0,
,Ab+1,1.0,68.0,2.0,
,G+1,1.0,67.0,-2.0,
,F+1,2.0,65.0,-4.0,
,],,,,
,,,,,
,[,,,,
,F+1,1.0,65.0,0.0,
,G+1,2.0,67.0,4.0,
,Ab+1,1.0,68.0,2.0,
,G+1,1.0,67.0,-2.0,
,Ab+1,2.0,68.0,2.0,
,Ab+1,1.0,68.0,0.0,
,Ab+1,1.0,68.0,0.0,
,G+1,1.0,67.0,-2.0,
,F+1,1.0,65.0,-4.0,
,G+1,1.0,67.0,4.0,
,F+1,1.0,65.0,-4.0,
,G+1,1.0,67.0,4.0,
,F+1,1.0,65.0,-4.0,
,G+1,1.0,67.0,4.0,
,F+1,1.0,65.0,-4.0,
,G+1,2.0,67.0,4.0,
,G+1,2.0,67.0,0.0,
,F+1,8.0,65.0,-4.0,
,C,8.0,60.0,-10.0,
,],,,,
